単語,元単語,問題ID,読み方,別解,別表記,意味,追記,レベル,画像,切り抜き画像,Tags
滔る,,Lv05_0001,はびこる,,㴞󠄂る,水が勢いよく広がる。水が満ちあふれる。,「蔓延(はびこ)る」は違う言葉。,05,"<img src=""Lv05_0001.png"">","<img src=""Lv05_0001_cropped.png"">",漢字でGO!-05
㴞󠄂る,滔る,Lv05_0001,はびこる,,滔る,水が勢いよく広がる。水が満ちあふれる。,「蔓延(はびこ)る」は違う言葉。,05,"<img src=""Lv05_0001.png"">","<img src=""Lv05_0001_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
綏,,Lv05_0002,たれひも,,垂れ紐,車に乗るときや、車中で立つ際に掴まるためのひも。,,05,"<img src=""Lv05_0002.png"">","<img src=""Lv05_0002_cropped.png"">",漢字でGO!-05
垂れ紐,綏,Lv05_0002,たれひも,,綏,車に乗るときや、車中で立つ際に掴まるためのひも。,,05,"<img src=""Lv05_0002.png"">","<img src=""Lv05_0002_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
拉げる,,Lv05_0003,ひしゃげる,ひしげる,,押されてつぶれる。ぺしゃんこになる。,,05,"<img src=""Lv05_0003.png"">","<img src=""Lv05_0003_cropped.png"">",漢字でGO!-05
翌る日,,Lv05_0004,あくる日,,明くる日,現在、または過去のある日からみて、次の日。翌日。,,05,"<img src=""Lv05_0004.png"">","<img src=""Lv05_0004_cropped.png"">",漢字でGO!-05
明くる日,翌る日,Lv05_0004,あくる日,,翌る日,現在、または過去のある日からみて、次の日。翌日。,,05,"<img src=""Lv05_0004.png"">","<img src=""Lv05_0004_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
魚虎,,Lv05_0005,かわせみ,,翡翠・魚狗・翡・翠・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05
翡翠,魚虎,Lv05_0005,かわせみ,,魚虎・魚狗・翡・翠・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
魚狗,魚虎,Lv05_0005,かわせみ,,魚虎・翡翠・翡・翠・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
翡,魚虎,Lv05_0005,かわせみ,,魚虎・翡翠・魚狗・翠・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
翠,魚虎,Lv05_0005,かわせみ,,魚虎・翡翠・魚狗・翡・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
鴗,魚虎,Lv05_0005,かわせみ,,魚虎・翡翠・魚狗・翡・翠,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
蘖,,Lv05_0006,ひこばえ,,孫生え・孼・櫱,樹木や切り株の根元から生える若芽。,,05,"<img src=""Lv05_0006.png"">","<img src=""Lv05_0006_cropped.png"">",漢字でGO!-05
孫生え,蘖,Lv05_0006,ひこばえ,,蘖・孼・櫱,樹木や切り株の根元から生える若芽。,,05,"<img src=""Lv05_0006.png"">","<img src=""Lv05_0006_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
孼,蘖,Lv05_0006,ひこばえ,,蘖・孫生え・櫱,樹木や切り株の根元から生える若芽。,,05,"<img src=""Lv05_0006.png"">","<img src=""Lv05_0006_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
